name,title,image_src,reports_to,chart_status
Mark Zuckerberg, Founder Chairman & CEO, https://cdn.theorg.com/75182162-4cdc-4575-b977-ce88d058c4b3_thumb.jpg,,1
Nick Clegg,"President, Global Affairs",https://cdn.theorg.com/8d8c5b5c-3476-473a-9878-d84c3b55bc9e_thumb.jpg,Mark Zuckerberg,2
Javier Olivan,COO,https://cdn.theorg.com/f7d99269-d984-4dd6-ae5a-b4616f10144a_thumb.jpg,Mark Zuckerberg,2
Andrew Bosworth,CTO,https://cdn.theorg.com/641759bf-734c-4ceb-a52a-7fd26636fc33_thumb.jpg,Mark Zuckerberg,2
Chris Cox,CPO,https://cdn.theorg.com/57035f5b-0892-4ac5-b7ab-686bf2286c03_thumb.jpg,Mark Zuckerberg,2
Susan Li,CFO,https://cdn.theorg.com/72fa059a-d702-4d44-83eb-2b277975ad16_thumb.jpg,Mark Zuckerberg,2
David Wehner,Chief Strategy Officer,https://cdn.theorg.com/e86057ce-16d0-4641-9f93-394874999c9f_thumb.jpg,Mark Zuckerberg,2
Jennifer Newstead,Chief Legal Officer,https://cdn.theorg.com/7e35c446-cbcc-46e5-b6f6-587cee8e3140_thumb.jpg,Mark Zuckerberg,2
Ahmad Al-Dahle,VP &amp; Head of GenAI at Meta,https://cdn.theorg.com/4044624d-b14a-4a05-9853-d38e2f61d644_thumb.jpg,Mark Zuckerberg,2
Lori Goler,"Head, People",no_match,Mark Zuckerberg,2
Andrea Besmehn,Executive Assistant to the CEO,no_match,Mark Zuckerberg,2
Mike Schroepfer,Senior Fellow,no_match,Mark Zuckerberg,2
Brian Roehrkasse,"VP, Communications",https://cdn.theorg.com/863d8397-acb1-4d58-9cec-7d08855514bc_thumb.jpg,Nick Clegg,3
Tucker Bounds,"VP, Communications",no_match,Nick Clegg,3
Bipasha Chakrabarti,"Director, Corporate Communications",https://cdn.theorg.com/aa97f182-3071-4b11-90f0-e5f4b34a28e2_thumb.jpg,Brian Roehrkasse,4
Malek El Refaie,"Director Of Internal Communications, Global Agency Pod",https://cdn.theorg.com/92d9bfeb-8c7d-42a4-b3da-23114bd8a731_thumb.jpg,Brian Roehrkasse,4
Tyler Yee,"Communications Manager, Reality Labs",https://cdn.theorg.com/5e3051ad-2fd0-4f9a-abcb-8e06beb74b17_thumb.jpg,Tucker Bounds,4
Maayan Sarig,Communications Manager,https://cdn.theorg.com/1ca598b1-25ad-489c-925f-eede7988a7f7_thumb.jpg,Tucker Bounds,4
Kezia Anim-Addo,"Director Of Communications - Africa, Middle East &amp; Turkey (amet)",no_match,Tucker Bounds,4
Jon Carvill,"Senior Director Of Communications, AI",no_match,Tucker Bounds,4
Nissa Anklesaria,"Vice President, Business Communications",https://cdn.theorg.com/481f74f8-498e-4974-8d1c-056e03520aa7_thumb.jpg,Tucker Bounds,4
Katy Dormer,"Communications Director, Facebook &amp; Messenger",https://cdn.theorg.com/78f1147a-77b7-45d6-9f74-8674e681c86d_thumb.jpg,Tucker Bounds,4
Nikolas Eristavi,Internal Marketing And Communications Lead,https://cdn.theorg.com/6eb417ed-2ec3-4c60-a7d3-8fa4412bbfeb_thumb.jpg,Nissa Anklesaria,5
Alex Schultz,"VP, Analytics &amp; CMO",https://cdn.theorg.com/fead2bfe-dae2-48c2-bfbf-ab7fb4681dd2_thumb.jpg,Javier Olivan,3
David Wei,"VP, Engineering",https://cdn.theorg.com/df724d74-3b80-4d5b-ba4c-ec320a3b655a_thumb.jpg,Javier Olivan,3
Joel Kaplan,"VP, US Public Policy",https://cdn.theorg.com/1c6581ac-5b56-4b29-8ef7-8c961e145a2c_thumb.jpg,Javier Olivan,3
Simon Milner,"VP, Public Policy, APAC",https://cdn.theorg.com/e8011163-01cf-461f-b08d-dd861591a4b8_thumb.jpg,Javier Olivan,3
Antigone Davis,"VP &amp; Global Head, Safety",no_match,Javier Olivan,3
Neil Potts,"VP, Public Policy, Trust &amp; Safety Policy",no_match,Javier Olivan,3
John Hegeman,"Head, Monetization",https://cdn.theorg.com/e4077a82-7e67-4b6c-9415-2c9d4538eb74_thumb.jpg,Javier Olivan,3
Matt McCance,"Head, Learning Shared Services",https://cdn.theorg.com/fc262821-53fd-476b-8078-645ee69fba62_thumb.jpg,Javier Olivan,3
Monika Bickert,"Head, Global Policy Management",https://cdn.theorg.com/f39926f0-a92a-4dbf-951f-92f85b983ed5_thumb.jpg,Javier Olivan,3
Dan Neary,"VP, APAC",https://cdn.theorg.com/ac9750ee-a202-4127-a6de-ca157e434ce5_thumb.jpg,Javier Olivan,3
Benjamin Joe,"VP, Southeast Asia &amp; Emerging Markets",https://cdn.theorg.com/a6b968e6-1335-49bd-95fd-f456a15e5d52_thumb.jpg,Javier Olivan,3
Nicola Mendelsohn,"VP, Global Business Group",https://cdn.theorg.com/0e18f8a9-d249-427a-af6f-812c90583d6e_thumb.jpg,Javier Olivan,3
Arun Srinivas,"Director &amp; Head of Ads Business, India",no_match,Javier Olivan,3
Mark Lee,Sound Designer,https://cdn.theorg.com/e942f5a7-4396-4f55-a7e8-6508c93397cf_thumb.jpg,Javier Olivan,3
Jorge Calleja,Chief Creative Officer,https://cdn.theorg.com/b6bfd4eb-d844-4185-90c3-21e582e6f923_thumb.jpg,Javier Olivan,3
Sygne Dorenburg,Global Head Of Sales Engagement And Support Strategy,https://cdn.theorg.com/dfc81ba5-1dbf-4a0f-9aba-ec6c9d6e72da_thumb.jpg,Javier Olivan,3
Martin Schneider,Chief Audit Executive,https://cdn.theorg.com/b77a6932-6de8-41c8-8563-24aa6ad067f3_thumb.jpg,Javier Olivan,3
Dhruv Vohra,"Managing Director, Meta Business Group, (mid-market), APAC",https://cdn.theorg.com/8024fe85-bdd1-442f-b7aa-36ef5561de77_thumb.jpg,Javier Olivan,3
Tom Tang,Global Head Of Data Science,no_match,Javier Olivan,3
Dennis Brockenborough,Global Head Of Customer Service Operations RL,https://cdn.theorg.com/59aecd85-5e96-4b5c-8511-84add59f19ff_thumb.jpg,Javier Olivan,3
